Date,Close
3/5/2013 16:00:00,30.18
3/6/2013 16:00:00,30.16
3/7/2013 16:00:00,30.23
3/8/2013 16:00:00,30.29
3/11/2013 16:00:00,30.36
3/12/2013 16:00:00,30.25
3/13/2013 16:00:00,30.23
3/14/2013 16:00:00,30.45
3/15/2013 16:00:00,30.2
3/18/2013 16:00:00,30.21
3/19/2013 16:00:00,30.17
3/20/2013 16:00:00,30.32
3/21/2013 16:00:00,29.98
3/22/2013 16:00:00,30.17
3/25/2013 16:00:00,30.1
3/26/2013 16:00:00,30.29
3/27/2013 16:00:00,30.21
3/28/2013 16:00:00,30.27
4/1/2013 16:00:00,30.07
4/2/2013 16:00:00,30.19
4/3/2013 16:00:00,29.95
4/4/2013 16:00:00,29.96
4/5/2013 16:00:00,29.73
4/8/2013 16:00:00,29.86
4/9/2013 16:00:00,30.07
4/10/2013 16:00:00,30.6
4/11/2013 16:00:00,30.5
4/12/2013 16:00:00,30.37
4/15/2013 16:00:00,29.87
4/16/2013 16:00:00,30.24
4/17/2013 16:00:00,29.62
4/18/2013 16:00:00,29.31
4/19/2013 16:00:00,29.35
4/22/2013 16:00:00,29.58
4/23/2013 16:00:00,29.9
4/24/2013 16:00:00,29.95
4/25/2013 16:00:00,30.05
4/26/2013 16:00:00,30.04
4/29/2013 16:00:00,30.47
4/30/2013 16:00:00,30.8
5/1/2013 16:00:00,30.53
5/2/2013 16:00:00,30.92
5/3/2013 16:00:00,31.21
5/6/2013 16:00:00,31.36
5/7/2013 16:00:00,31.34
5/8/2013 16:00:00,31.59
5/9/2013 16:00:00,31.5
5/10/2013 16:00:00,31.59
5/13/2013 16:00:00,31.51
5/14/2013 16:00:00,31.61
5/15/2013 16:00:00,31.71
5/16/2013 16:00:00,31.88
5/17/2013 16:00:00,32.2
5/20/2013 16:00:00,32.2
5/21/2013 16:00:00,32.1
5/22/2013 16:00:00,31.75
5/23/2013 16:00:00,31.74
5/24/2013 16:00:00,31.69
5/28/2013 16:00:00,31.84
5/29/2013 16:00:00,31.76
5/30/2013 16:00:00,31.96
5/31/2013 16:00:00,31.66
6/3/2013 16:00:00,31.82
6/4/2013 16:00:00,31.68
6/5/2013 16:00:00,31.37
6/6/2013 16:00:00,31.44
6/7/2013 16:00:00,31.73
6/10/2013 16:00:00,31.8
6/11/2013 16:00:00,31.47
6/12/2013 16:00:00,31.26
6/13/2013 16:00:00,31.62
6/14/2013 16:00:00,31.38
6/17/2013 16:00:00,31.67
6/18/2013 16:00:00,31.92
6/19/2013 16:00:00,31.55
6/20/2013 16:00:00,30.85
6/21/2013 16:00:00,30.51
6/24/2013 16:00:00,30.14
6/25/2013 16:00:00,30.39
6/26/2013 16:00:00,30.57
6/27/2013 16:00:00,30.72
6/28/2013 16:00:00,30.59
7/1/2013 16:00:00,30.75
7/2/2013 16:00:00,30.8
7/3/2013 16:00:00,30.98
7/5/2013 16:00:00,31.18
7/8/2013 16:00:00,31.16
7/9/2013 16:00:00,31.28
7/10/2013 16:00:00,31.38
7/11/2013 16:00:00,31.91
7/12/2013 16:00:00,31.93
7/15/2013 16:00:00,32.02
7/16/2013 16:00:00,32.05
7/17/2013 16:00:00,32.07
7/18/2013 16:00:00,31.99
7/19/2013 16:00:00,31.45
7/22/2013 16:00:00,31.54
7/23/2013 16:00:00,31.41
7/24/2013 16:00:00,31.62
7/25/2013 16:00:00,31.64
7/26/2013 16:00:00,31.73
7/29/2013 16:00:00,31.68
7/30/2013 16:00:00,31.84
7/31/2013 16:00:00,31.73
8/1/2013 16:00:00,32.07
8/2/2013 16:00:00,32.21
8/5/2013 16:00:00,32.28
8/6/2013 16:00:00,32.11
8/7/2013 16:00:00,32.03
8/8/2013 16:00:00,32.14
8/9/2013 16:00:00,31.97
8/12/2013 16:00:00,32.18
8/13/2013 16:00:00,32.4
8/14/2013 16:00:00,32.37
8/15/2013 16:00:00,31.85
8/16/2013 16:00:00,31.82
8/19/2013 16:00:00,31.72
8/20/2013 16:00:00,31.77
8/21/2013 16:00:00,31.7
8/22/2013 16:00:00,31.84
8/23/2013 16:00:00,32.07
8/26/2013 16:00:00,31.92
8/27/2013 16:00:00,31.36
8/28/2013 16:00:00,31.38
8/29/2013 16:00:00,31.55
8/30/2013 16:00:00,31.4
9/3/2013 16:00:00,31.43
9/4/2013 16:00:00,31.74
9/5/2013 16:00:00,31.75
9/6/2013 16:00:00,31.77
9/9/2013 16:00:00,32.15
9/10/2013 16:00:00,32.35
9/11/2013 16:00:00,32.2
9/12/2013 16:00:00,32.23
9/13/2013 16:00:00,32.26
9/16/2013 16:00:00,32.21
9/17/2013 16:00:00,32.37
9/18/2013 16:00:00,32.78
9/19/2013 16:00:00,32.81
9/20/2013 16:00:00,32.42
9/23/2013 16:00:00,32.51
9/24/2013 16:00:00,32.37
9/25/2013 16:00:00,32.32
9/26/2013 16:00:00,32.44
9/27/2013 16:00:00,32.24
9/30/2013 16:00:00,32.04
10/1/2013 16:00:00,32.32
10/2/2013 16:00:00,32.33
10/3/2013 16:00:00,32.05
10/4/2013 16:00:00,32.18
10/7/2013 16:00:00,32.04
10/8/2013 16:00:00,31.53
10/9/2013 16:00:00,31.65
10/10/2013 16:00:00,32.18
10/11/2013 16:00:00,32.45
10/14/2013 16:00:00,32.56
10/15/2013 16:00:00,32.36
10/16/2013 16:00:00,32.67
10/17/2013 16:00:00,32.68
10/18/2013 16:00:00,33.24
10/21/2013 16:00:00,33.42
10/22/2013 16:00:00,33.41
10/23/2013 16:00:00,33.25
10/24/2013 16:00:00,33.33
10/25/2013 16:00:00,33.5
10/28/2013 16:00:00,33.61
10/29/2013 16:00:00,33.83
10/30/2013 16:00:00,33.76
10/31/2013 16:00:00,33.65
11/1/2013 16:00:00,33.66
11/4/2013 16:00:00,33.79
11/5/2013 16:00:00,33.7
11/6/2013 16:00:00,34.04
11/7/2013 16:00:00,33.6
11/8/2013 16:00:00,33.9
11/11/2013 16:00:00,33.94
