Date,Close
9/30/2014 16:00:00,19.99
10/1/2014 16:00:00,19.55
10/2/2014 16:00:00,19.43
10/3/2014 16:00:00,20.14
10/6/2014 16:00:00,19.97
10/7/2014 16:00:00,19.8
10/8/2014 16:00:00,19.93
10/9/2014 16:00:00,19.65
10/10/2014 16:00:00,18.95
10/13/2014 16:00:00,18.97
10/14/2014 16:00:00,18.76
10/15/2014 16:00:00,18.44
10/16/2014 16:00:00,18.95
10/17/2014 16:00:00,18.87
10/20/2014 16:00:00,19.06
10/21/2014 16:00:00,19.56
10/22/2014 16:00:00,19.4
10/23/2014 16:00:00,19.6
10/24/2014 16:00:00,19.73
10/27/2014 16:00:00,19.66
10/28/2014 16:00:00,20.08
10/29/2014 16:00:00,19.8
10/30/2014 16:00:00,19.81
10/31/2014 16:00:00,20.33
11/3/2014 16:00:00,20.4
11/4/2014 16:00:00,20.4
11/5/2014 16:00:00,20.2
11/6/2014 16:00:00,20.28
11/7/2014 16:00:00,20.17
11/10/2014 16:00:00,20.45
11/11/2014 16:00:00,20.37
11/12/2014 16:00:00,20.47
11/13/2014 16:00:00,20.41
11/14/2014 16:00:00,20.75
11/17/2014 16:00:00,20.7
11/18/2014 16:00:00,20.56
11/19/2014 16:00:00,20.24
11/20/2014 16:00:00,20.34
11/21/2014 16:00:00,20.41
11/24/2014 16:00:00,20.57
11/25/2014 16:00:00,20.55
11/26/2014 16:00:00,20.6
11/28/2014 16:00:00,20.71
12/1/2014 16:00:00,20.2
12/2/2014 16:00:00,20.2
12/3/2014 16:00:00,20.23
12/4/2014 16:00:00,20.25
12/5/2014 16:00:00,20.34
12/8/2014 16:00:00,20.06
12/9/2014 16:00:00,20.02
12/10/2014 16:00:00,20.02
12/11/2014 16:00:00,20.06
12/12/2014 16:00:00,20.06
12/15/2014 16:00:00,19.73
12/16/2014 16:00:00,19.28
12/17/2014 16:00:00,19.49
12/18/2014 16:00:00,20.19
12/19/2014 16:00:00,20.47
12/22/2014 16:00:00,20.66
12/23/2014 16:00:00,20.73
12/24/2014 16:00:00,20.82
12/26/2014 16:00:00,20.94
12/29/2014 16:00:00,20.82
12/30/2014 16:00:00,20.55
12/31/2014 16:00:00,20.53
1/2/2015 16:00:00,20.32
1/5/2015 16:00:00,20.01
1/6/2015 16:00:00,19.83
1/7/2015 16:00:00,20.03
1/8/2015 16:00:00,20.45
1/9/2015 16:00:00,20.41
1/12/2015 16:00:00,20.14
1/13/2015 16:00:00,20
1/14/2015 16:00:00,19.93
1/15/2015 16:00:00,19.86
1/16/2015 16:00:00,19.69
1/20/2015 16:00:00,20.05
